"TIME","GEO","WST_OPER","UNIT","Value"
"2000","Belgium","Waste generated","Thousand tonnes","4 772.19"
"2000","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Waste generated","Thousand tonnes","466.29"
"2000","Prov. Antwerpen","Waste generated","Thousand tonnes","813.4"
"2000","Prov. Limburg (BE)","Waste generated","Thousand tonnes","375.66"
"2000","Prov. Oost-Vlaanderen","Waste generated","Thousand tonnes","649.85"
"2000","Prov. Vlaams-Brabant","Waste generated","Thousand tonnes","414.59"
"2000","Prov. West-Vlaanderen","Waste generated","Thousand tonnes","562.63"
"2000","Prov. Brabant wallon","Waste generated","Thousand tonnes",":"
"2000","Prov. Hainaut","Waste generated","Thousand tonnes",":"
"2000","Prov. Liège","Waste generated","Thousand tonnes",":"
"2000","Prov. Luxembourg (BE)","Waste generated","Thousand tonnes",":"
"2000","Prov. Namur","Waste generated","Thousand tonnes",":"
"2000","Bulgaria","Waste generated","Thousand tonnes","4 223.55"
"2000","Severozapaden","Waste generated","Thousand tonnes",":"
"2000","Severen tsentralen","Waste generated","Thousand tonnes",":"
"2000","Severoiztochen","Waste generated","Thousand tonnes",":"
"2000","Yugoiztochen","Waste generated","Thousand tonnes",":"
"2000","Yugozapaden","Waste generated","Thousand tonnes",":"
"2000","Yuzhen tsentralen","Waste generated","Thousand tonnes",":"
"2000","Czechia","Waste generated","Thousand tonnes","3 434"
"2000","Praha","Waste generated","Thousand tonnes",":"
"2000","Strední Cechy","Waste generated","Thousand tonnes",":"
"2000","Jihozápad","Waste generated","Thousand tonnes",":"
"2000","Severozápad","Waste generated","Thousand tonnes",":"
"2000","Severovıchod","Waste generated","Thousand tonnes",":"
"2000","Jihovıchod","Waste generated","Thousand tonnes",":"
"2000","Strední Morava","Waste generated","Thousand tonnes",":"
"2000","Moravskoslezsko","Waste generated","Thousand tonnes",":"
"2000","Germany (until 1990 former territory of the FRG)","Waste generated","Thousand tonnes",":"
"2000","Stuttgart","Waste generated","Thousand tonnes",":"
"2000","Karlsruhe","Waste generated","Thousand tonnes",":"
"2000","Freiburg","Waste generated","Thousand tonnes",":"
"2000","Tübingen","Waste generated","Thousand tonnes",":"
"2000","Oberbayern","Waste generated","Thousand tonnes",":"
"2000","Niederbayern","Waste generated","Thousand tonnes",":"
"2000","Oberpfalz","Waste generated","Thousand tonnes",":"
"2000","Oberfranken","Waste generated","Thousand tonnes",":"
"2000","Mittelfranken","Waste generated","Thousand tonnes",":"
"2000","Unterfranken","Waste generated","Thousand tonnes",":"
"2000","Schwaben","Waste generated","Thousand tonnes",":"
"2000","Berlin","Waste generated","Thousand tonnes",":"
"2000","Brandenburg","Waste generated","Thousand tonnes",":"
"2000","Bremen","Waste generated","Thousand tonnes",":"
"2000","Hamburg","Waste generated","Thousand tonnes",":"
"2000","Darmstadt","Waste generated","Thousand tonnes",":"
"2000","Gießen","Waste generated","Thousand tonnes",":"
"2000","Kassel","Waste generated","Thousand tonnes",":"
"2000","Mecklenburg-Vorpommern","Waste generated","Thousand tonnes",":"
"2000","Braunschweig","Waste generated","Thousand tonnes",":"
"2000","Hannover","Waste generated","Thousand tonnes",":"
"2000","Lüneburg","Waste generated","Thousand tonnes",":"
"2000","Weser-Ems","Waste generated","Thousand tonnes",":"
"2000","Düsseldorf","Waste generated","Thousand tonnes",":"
"2000","Köln","Waste generated","Thousand tonnes",":"
"2000","Münster","Waste generated","Thousand tonnes",":"
"2000","Detmold","Waste generated","Thousand tonnes",":"
"2000","Arnsberg","Waste generated","Thousand tonnes",":"
"2000","Koblenz","Waste generated","Thousand tonnes",":"
"2000","Trier","Waste generated","Thousand tonnes",":"
"2000","Rheinhessen-Pfalz","Waste generated","Thousand tonnes",":"
"2000","Saarland","Waste generated","Thousand tonnes",":"
"2000","Dresden","Waste generated","Thousand tonnes",":"
"2000","Chemnitz","Waste generated","Thousand tonnes",":"
"2000","Leipzig","Waste generated","Thousand tonnes",":"
"2000","Sachsen-Anhalt","Waste generated","Thousand tonnes",":"
"2000","Schleswig-Holstein","Waste generated","Thousand tonnes",":"
"2000","Thüringen","Waste generated","Thousand tonnes",":"
"2000","Estonia","Waste generated","Thousand tonnes","633"
"2000","Eesti","Waste generated","Thousand tonnes","633"
"2000","Ireland","Waste generated","Thousand tonnes","2 278.7"
"2000","Border, Midland and Western (NUTS 2013)","Waste generated","Thousand tonnes",":"
"2000","Southern and Eastern (NUTS 2013)","Waste generated","Thousand tonnes",":"
"2000","Spain","Waste generated","Thousand tonnes",":"
"2000","Galicia","Waste generated","Thousand tonnes",":"
"2000","Principado de Asturias","Waste generated","Thousand tonnes",":"
"2000","Cantabria","Waste generated","Thousand tonnes",":"
"2000","País Vasco","Waste generated","Thousand tonnes",":"
"2000","Comunidad Foral de Navarra","Waste generated","Thousand tonnes",":"
"2000","La Rioja","Waste generated","Thousand tonnes",":"
"2000","Aragón","Waste generated","Thousand tonnes",":"
"2000","Comunidad de Madrid","Waste generated","Thousand tonnes",":"
"2000","Castilla y León","Waste generated","Thousand tonnes",":"
"2000","Castilla-la Mancha","Waste generated","Thousand tonnes",":"
"2000","Extremadura","Waste generated","Thousand tonnes",":"
"2000","Cataluña","Waste generated","Thousand tonnes",":"
"2000","Comunidad Valenciana","Waste generated","Thousand tonnes",":"
"2000","Illes Balears","Waste generated","Thousand tonnes",":"
"2000","Andalucía","Waste generated","Thousand tonnes",":"
"2000","Región de Murcia","Waste generated","Thousand tonnes",":"
"2000","Canarias (ES)","Waste generated","Thousand tonnes",":"
"2000","France","Waste generated","Thousand tonnes","44 788.2"
"2000","Île de France","Waste generated","Thousand tonnes","8 731.1"
"2000","Champagne-Ardenne (NUTS 2013)","Waste generated","Thousand tonnes","1 146"
"2000","Picardie (NUTS 2013)","Waste generated","Thousand tonnes","1 562.9"
"2000","Haute-Normandie (NUTS 2013)","Waste generated","Thousand tonnes","1 170.3"
"2000","Centre (FR) (NUTS 2013)","Waste generated","Thousand tonnes","2 000.9"
"2000","Basse-Normandie (NUTS 2013)","Waste generated","Thousand tonnes","987.5"
"2000","Bourgogne (NUTS 2013)","Waste generated","Thousand tonnes","1 420"
"2000","Nord-Pas-de-Calais (NUTS 2013)","Waste generated","Thousand tonnes","3 178.9"
"2000","Lorraine (NUTS 2013)","Waste generated","Thousand tonnes","1 872.8"
"2000","Alsace (NUTS 2013)","Waste generated","Thousand tonnes","1 859.9"
"2000","Franche-Comté (NUTS 2013)","Waste generated","Thousand tonnes","640.2"
"2000","Pays de la Loire (NUTS 2013)","Waste generated","Thousand tonnes","2 987.6"
"2000","Bretagne (NUTS 2013)","Waste generated","Thousand tonnes","1 455.7"
"2000","Poitou-Charentes (NUTS 2013)","Waste generated","Thousand tonnes","1 235.9"
"2000","Aquitaine (NUTS 2013)","Waste generated","Thousand tonnes","1 804.8"
"2000","Midi-Pyrénées (NUTS 2013)","Waste generated","Thousand tonnes","1 521.5"
"2000","Limousin (NUTS 2013)","Waste generated","Thousand tonnes","519.1"
"2000","Rhône-Alpes (NUTS 2013)","Waste generated","Thousand tonnes","4 314.3"
"2000","Auvergne (NUTS 2013)","Waste generated","Thousand tonnes","855.3"
"2000","Languedoc-Roussillon (NUTS 2013)","Waste generated","Thousand tonnes","1 869.7"
"2000","Provence-Alpes-Côte d'Azur (NUTS 2013)","Waste generated","Thousand tonnes","3 530.6"
"2000","Corse (NUTS 2013)","Waste generated","Thousand tonnes","123.2"
"2000","Guadeloupe (NUTS 2010)","Waste generated","Thousand tonnes",":"
"2000","Martinique (NUTS 2010)","Waste generated","Thousand tonnes",":"
"2000","Guyane (NUTS 2010)","Waste generated","Thousand tonnes",":"
"2000","Réunion (NUTS 2010)","Waste generated","Thousand tonnes",":"
"2000","Croatia","Waste generated","Thousand tonnes",":"
"2000","Jadranska Hrvatska","Waste generated","Thousand tonnes",":"
"2000","Kontinentalna Hrvatska","Waste generated","Thousand tonnes",":"
"2000","Italy","Waste generated","Thousand tonnes","28 958.52"
"2000","Piemonte","Waste generated","Thousand tonnes","2 043.23"
